City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,invercargill,-46.4,168.35,280.55,95,100,2.67,NZ,1692322296
138,bilibino,68.0546,166.4372,281.93,85,100,1.67,RU,1692322502
139,susuman,62.7833,148.1667,289.97,71,80,1.06,RU,1692322565
140,tateyama,34.9833,139.8667,303.11,79,75,3.09,JP,1692322565
141,colonia,50.9333,6.95,291.46,90,0,0.51,DE,1692322411
142,alaghsas,17.0187,8.0168,305.22,36,67,2.15,NE,1692322566
143,vila velha,-20.3297,-40.2925,294.12,83,20,2.06,BR,1692322566
144,san andres,12.5847,-81.7006,301.16,83,20,6.17,CO,1692322566
145,kalemie,-5.9475,29.1947,295.57,54,9,0.68,CD,1692322567
146,island harbour,50.724,-1.2758,291.57,93,54,3.13,GB,1692322567
147,hasaki,35.7333,140.8333,308.31,77,2,5.57,JP,1692322495
148,nikolayevsk-on-amure,53.1406,140.73,297.13,67,60,2.0,RU,1692322498
149,suva,-18.1416,178.4415,301.86,74,40,4.63,FJ,1692322567
150,kuraymah,18.55,31.85,306.29,19,12,2.91,SD,1692322568
151,rabaul,-4.1967,152.1721,301.54,73,95,4.7,PG,1692322568
152,den burg,53.0542,4.7972,290.37,85,100,4.12,NL,1692322568
153,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,100,75,2.0,RU,1692322569
154,wailua homesteads,22.0669,-159.378,302.59,73,40,6.69,US,1692322569
155,portland,45.5234,-122.6762,306.79,44,75,4.12,US,1692322436
156,hinton,53.4001,-117.5857,287.99,87,100,1.98,CA,1692322569
157,mucumpiz,8.4167,-71.1333,287.5,93,69,0.49,VE,1692322570
158,kapa'a,22.0752,-159.319,303.33,73,40,6.69,US,1692322570
159,kenai,60.5544,-151.2583,291.2,73,0,3.6,US,1692322570
160,keflavik,64.0049,-22.5624,286.1,94,75,6.17,IS,1692322570
161,santa rosalia,27.3167,-112.2833,306.34,50,0,0.91,MX,1692322571
162,katsuren-haebaru,26.3369,127.8719,302.58,80,40,2.57,JP,1692322572
163,sinan,34.8262,126.1086,303.21,81,0,1.98,KR,1692322572
164,faranah,10.0404,-10.7434,294.42,98,100,0.78,GN,1692322573
165,saipan,15.1355,145.701,305.54,100,40,4.63,MP,1692322573
166,saint-francois,46.4154,3.9054,291.84,94,0,1.03,FR,1692322573
167,kondagaon,19.6,81.6667,294.76,97,100,2.18,IN,1692322573
168,andergrove,-21.0833,149.1833,301.84,69,0,7.05,AU,1692322574
169,bafia,4.75,11.2333,294.22,62,100,1.06,CM,1692322574
170,naze,28.3667,129.4833,301.66,77,80,2.28,JP,1692322574
171,shubarkuduk,49.1447,56.4872,296.46,34,26,5.69,KZ,1692322575
172,georgetown,5.4112,100.3354,301.45,86,20,1.54,MY,1692322442
173,bestobe,52.4994,73.0975,290.34,55,48,3.96,KZ,1692322576
174,margate,51.3813,1.3862,292.54,91,70,1.79,GB,1692322576
175,santo angelo,-28.2992,-54.2631,292.91,71,0,3.58,BR,1692322576
176,port elizabeth,-33.918,25.5701,286.31,76,0,4.63,ZA,1692322492
177,rockport,28.0206,-97.0544,303.16,87,3,4.63,US,1692322576
